 ,Linea,Cod Familia,Familia,Cod Producto,Producto,Cod Color,Familia Color,COD SKU PT,UM,Doc x Paq,Doc X bulto,PESO g.,Precio Estimado, Precio Sin IGV , Indicador x kg. ,Status,Codigo Barra,Marca,Nombre GS1,OBS
1,HOGAR,26,MULTIUSO,215,PORTA ACCESORIO MULTIUSO OFICINA,3,solido,12621503,DOC,10,20,60,23,19.49,6.77,ALTA,7.75933E+12,MUNDO HOGAR,PORTA ACCESORIO MULTIUSO COLOR CARAMELO,
1,HOGAR,19,VASOS,216,VASO MUNDO MANZANITA CARAMELO,1,Caramelo,11921601,DOC,60,120,21,7,5.93,5.89,ALTA,7.75933E+12,MUNDO HOGAR,VASO MUNDO MANZANITA COLOR CARAMELO,
1,HOGAR,19,VASOS,217,VASO MUNDO MANZANITA TRANSP.,4,Transparente,11921704,DOC,60,120,21,7,5.93,5.89,ALTA,7.75933E+12,MUNDO HOGAR,VASO MUNDO MANZANITA COLOR TRANSPARENTE,
1,HOGAR,14,PACKS,218,PACK: JARRA REAL 6LT.+3 VASOS MANZ.,4,Transparente,11421804,DOC,2,6,353,120,101.69,6,ALTA,,,,
1,HOGAR,11,ENVASES,219,PORTA ACCESORIO MULTIUSO SOLIDO,3,solido,11121903,DOC,10,20,60,23,19.49,6.77,ALTA,,,,
1,HOGAR,11,ENVASES,220,CESTO MULTIUSO,3,solido,11122003,DOC,5,10,100,42,35.59,7.42,ALTA,7.76E+12,MUNDO HOGAR,,
1,HOGAR,12,FLOREROS,221,FLORERO ITALIANO CARAMELO,1,Caramelo,11222101,DOC,4,16,62,34,28.81,9.68,ALTA,7.76E+12,MUNDOPLAST,FLORERO DE PLASTICO ITALIANO,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,12,FLOREROS,222,FLORERO ITALIANO GRANDE CARAMELO,1,Caramelo,11222201,DOC,4,16,84,38,32.2,7.99,ALTA,7.76E+12,MUNDOPLAST,FLORERO DE PLASTICO ITALIANO GRANDE,ACTUALIZAR PRECIO EN SISTEMA
1,HOGAR,16,SPORT BOTTLE,223,SPORT BOTTLE AVENTURA CLICK 350ML. TRANSP.,4,Transparente,11622304,DOC,10,40,65,29,24.58,7.88,ALTA,,,,
1,HOGAR,16,SPORT BOTTLE,224,SPORT BOTTLE AVENTURA CLICK 350ML. CARAMELO,1,Caramelo,11622401,DOC,10,40,65,29,24.58,7.88,ALTA,,,,
